id,property_type,state,region,lat,lon,area_m2,price_brl,city
74,apartment,Pernambuco,Northeast,-8.149876,-34.910686,78.0,299438.28,Recife
75,apartment,Pernambuco,Northeast,-8.035618,-34.89333,149.0,1096942.3,Recife
76,apartment,Pernambuco,Northeast,-8.037489,-34.89537,80.0,439176.16,Recife
77,apartment,Pernambuco,Northeast,-8.027162,-34.913445,79.0,474110.62,Recife
78,house,Pernambuco,Northeast,-8.0356845,-34.9234524,238.0,1447285.12,Recife
79,apartment,Pernambuco,Northeast,-8.116955,-34.896206,128.0,743605.12,Recife
80,apartment,Pernambuco,Northeast,-8.117513,-34.899639,129.0,758577.03,Recife
81,apartment,Pernambuco,Northeast,-8.117513,-34.899639,129.0,1048034.05,Recife
82,apartment,Pernambuco,Northeast,-8.034344,-34.896725,67.0,439176.16,Recife
83,apartment,Pernambuco,Northeast,-8.035971,-34.895073,135.0,848408.53,Recife
84,apartment,Pernambuco,Northeast,-8.126271,-34.903793,,978165.11,Recife
85,apartment,Pernambuco,Northeast,-8.125065,-34.906685,70.0,429194.89,Recife
86,apartment,Pernambuco,Northeast,-8.032252,-34.893612,134.0,678726.79,Recife
87,apartment,Pernambuco,Northeast,-8.041807,-34.894043,105.0,558951.47,Recife
88,apartment,Pernambuco,Northeast,-8.119507,-34.895363,200.0,1097940.43,Recife
89,apartment,Pernambuco,Northeast,-8.183491,-34.921719,148.0,588895.33,Jaboatão dos Guararapes
90,apartment,Pernambuco,Northeast,-8.183491,-34.921719,238.0,748595.73,Jaboatão dos Guararapes
91,apartment,Pernambuco,Northeast,-8.103477,-34.888622,140.0,948221.29,Recife
92,apartment,Pernambuco,Northeast,-8.2027839,-34.9170501,58.0,279475.72,Jaboatão dos Guararapes
93,apartment,Pernambuco,Northeast,-8.0584269,-34.8834188,118.0,279475.72,Recife
94,apartment,Pernambuco,Northeast,-8.043853,-34.907928,203.0,1349987.64,Recife
95,apartment,Pernambuco,Northeast,-8.183698,-34.931366,53.0,364316.6,Jaboatão dos Guararapes
96,apartment,Pernambuco,Northeast,-8.1423048,-34.9096799,,329382.13,Recife
97,apartment,Pernambuco,Northeast,-8.1440884,-34.908476,75.0,449157.45,Recife
98,apartment,Pernambuco,Northeast,-8.108721,-34.897616,101.0,598876.59,Recife
99,apartment,Pernambuco,Northeast,-8.027162,-34.913445,58.0,319400.84,Recife
100,apartment,Pernambuco,Northeast,-8.1431534,-34.904241,,648782.97,Recife
101,apartment,Pernambuco,Northeast,-8.1404559,-34.907893,94.0,299438.28,Recife
102,apartment,Pernambuco,Northeast,-8.1098693,-34.897672,,299438.28,Recife
103,apartment,Pernambuco,Northeast,-8.1098693,-34.897672,,319400.84,Recife
104,apartment,Pernambuco,Northeast,-8.040233,-34.898281,,648782.97,Recife
105,apartment,Pernambuco,Northeast,-8.02765,-34.920338,64.0,359325.95,Recife
106,apartment,Pernambuco,Northeast,-8.192952,-34.931366,64.0,239550.63,Jaboatão dos Guararapes
107,apartment,Pernambuco,Northeast,-8.152399,-34.920338,148.0,648782.97,Jaboatão dos Guararapes
108,apartment,Pernambuco,Northeast,-8.1869427,-35.5808245,,259513.19,Gravatá
109,apartment,Pernambuco,Northeast,-8.041209,-34.895039,94.0,399251.07,Recife
110,apartment,Pernambuco,Northeast,-8.0347457,-34.8972145,128.0,738614.47,Recife
111,apartment,Pernambuco,Northeast,-8.035595,-34.921719,216.0,1497191.5,Recife
112,apartment,Pernambuco,Northeast,-8.129817,-34.914825,135.0,698689.35,Recife
113,apartment,Pernambuco,Northeast,-8.109441,-34.898106,130.0,698689.35,Recife
114,apartment,Pernambuco,Northeast,-8.1230628,-34.903959,,489082.54,Recife
115,apartment,Pernambuco,Northeast,-8.0331805,-34.8968813,,964534.63,Recife
116,apartment,Pernambuco,Northeast,-8.0373731,-34.8971001,145.0,748595.73,Recife
117,apartment,Pernambuco,Northeast,-8.056418,-34.909309,112.0,731015.72,Recife
118,apartment,Pernambuco,Northeast,-8.033863,-34.918545,200.0,1616966.85,Recife
119,apartment,Pernambuco,Northeast,-8.108315,-34.898277,108.0,798502.15,Recife
120,apartment,Pernambuco,Northeast,-8.113885,-34.89584,,798502.15,Recife
121,apartment,Pernambuco,Northeast,-8.115533,-34.896854,86.0,748595.73,Recife
122,apartment,Pernambuco,Northeast,-8.126271,-34.903793,135.0,648782.97,Recife
123,apartment,Pernambuco,Northeast,-8.040929,-34.888283,60.0,466125.61,Recife
124,apartment,Pernambuco,Northeast,-8.038549,-34.901844,75.0,369307.22,Recife
125,apartment,Pernambuco,Northeast,-8.027162,-34.913445,180.0,898314.91,Recife
126,apartment,Pernambuco,Northeast,-8.0620223,-34.8971463,93.0,349344.66,Recife
127,apartment,Pernambuco,Northeast,-8.0373731,-34.8971001,110.0,807676.27,Recife
128,apartment,Pernambuco,Northeast,-8.1208606,-34.899662,175.0,858389.79,Recife
129,apartment,Pernambuco,Northeast,-8.1460785,-34.906419,170.0,798502.15,Recife
130,apartment,Pernambuco,Northeast,-8.056418,-34.909309,67.0,399251.07,Recife
131,apartment,Pernambuco,Northeast,-8.089291,-34.903793,119.0,865070.26,Recife
132,apartment,Pernambuco,Northeast,-8.183491,-34.921719,54.0,299438.28,Jaboatão dos Guararapes
133,apartment,Pernambuco,Northeast,-8.046962,-34.899654,100.0,598876.59,Recife
134,apartment,Pernambuco,Northeast,-8.1092891,-34.907094,73.0,409232.33,Recife
135,apartment,Pernambuco,Northeast,-8.1092891,-34.907094,73.0,389269.77,Recife
136,apartment,Pernambuco,Northeast,-8.028039,-34.8992006,,329382.13,Recife
137,apartment,Pernambuco,Northeast,-8.0938881,-34.883418,66.0,439176.16,Recife
138,apartment,Pernambuco,Northeast,-8.09607,-34.884548,145.0,469120.01,Recife
139,apartment,Pernambuco,Northeast,-8.1460785,-34.906419,167.0,848408.53,Recife
140,apartment,Pernambuco,Northeast,-8.004057,-34.841721,75.0,399251.07,Olinda
141,apartment,Pernambuco,Northeast,-8.034344,-34.896725,55.0,359325.95,Recife
142,apartment,Pernambuco,Northeast,-8.0508763,-34.9113739,155.0,1147846.81,Recife
143,house,Pernambuco,Northeast,-8.049178,-34.924473,200.0,848408.53,Recife
144,apartment,Pernambuco,Northeast,-8.0310293,-34.9275023,140.0,948221.29,Recife
145,house,Pernambuco,Northeast,-8.0314434,-34.92159,190.0,1077977.9,Recife
146,apartment,Pernambuco,Northeast,-8.044832,-34.910873,65.0,367310.97,Recife
147,apartment,Pernambuco,Northeast,-8.089291,-34.903793,109.0,836430.98,Recife
148,apartment,Pernambuco,Northeast,-8.108554,-34.891766,102.0,778539.59,Recife
149,apartment,Pernambuco,Northeast,-8.126271,-34.903793,165.0,598876.59,Recife
150,apartment,Pernambuco,Northeast,-8.034408,-34.893291,,988146.4,Recife
151,apartment,Pernambuco,Northeast,-8.0369,-34.884521,65.0,348346.53,Recife
152,apartment,Pernambuco,Northeast,-8.056418,-34.909309,95.0,598876.59,Recife
153,apartment,Pernambuco,Northeast,-8.056418,-34.909309,86.0,568932.77,Recife
154,apartment,Pernambuco,Northeast,-8.1241574,-34.9000543,74.0,474509.81,Recife
155,apartment,Pernambuco,Northeast,-8.1937545,-34.9228696,63.0,312974.53,Jaboatão dos Guararapes
156,apartment,Pernambuco,Northeast,-8.1416581,-34.9099297,125.0,636045.06,Recife
157,apartment,Pernambuco,Northeast,-8.1103967,-34.9063162,110.0,610805.16,Recife
158,apartment,Pernambuco,Northeast,-8.1103967,-34.9063162,120.0,686524.82,Recife
159,apartment,Pernambuco,Northeast,-8.1978842,-34.92564,64.0,254522.54,Jaboatão dos Guararapes
160,apartment,Pernambuco,Northeast,-8.1118458,-34.8947337,158.0,1110554.87,Recife
161,apartment,Pernambuco,Northeast,-8.0955108,-34.884688,156.0,1144881.1,Recife
162,apartment,Pernambuco,Northeast,-8.0944065,-34.883792,123.0,989403.42,Recife
163,apartment,Pernambuco,Northeast,-8.1294021,-34.9056294,63.0,424030.02,Recife
164,house,Pernambuco,Northeast,-8.183491,-34.921719,250.0,648782.97,Jaboatão dos Guararapes
165,apartment,Pernambuco,Northeast,-8.094985,-34.892761,240.0,1116829.6,Recife
166,apartment,Pernambuco,Northeast,-8.1263587,-34.905748,130.0,588895.33,Recife
167,apartment,Pernambuco,Northeast,-8.1207496,-34.899219,120.0,349344.66,Recife
168,apartment,Pernambuco,Northeast,-8.1435997,-34.909065,103.0,489082.54,Recife
169,apartment,Pernambuco,Northeast,-8.034344,-34.896725,82.0,578914.03,Recife
170,apartment,Pernambuco,Northeast,-8.0288008,-34.9190997,,868371.08,Recife
171,apartment,Pernambuco,Northeast,-8.046962,-34.899654,100.0,364316.6,Recife
172,apartment,Pernambuco,Northeast,-8.044034,-34.8955201,170.0,678726.79,Recife
173,apartment,Pernambuco,Northeast,-8.062398,-34.904552,140.0,798502.15,Recife
174,apartment,Pernambuco,Northeast,-8.034104,-34.89806,,711665.02,Recife
175,apartment,Pernambuco,Northeast,-8.027134,-34.901733,108.0,529007.65,Recife
176,apartment,Pernambuco,Northeast,-8.1103967,-34.9063162,142.0,747100.55,Recife
177,apartment,Pernambuco,Northeast,-8.1103967,-34.9063162,170.0,908635.8,Recife
178,apartment,Pernambuco,Northeast,-8.126271,-34.903793,,479101.27,Recife
179,apartment,Pernambuco,Northeast,-8.032375,-34.906925,203.0,1177790.66,Recife
180,apartment,Pernambuco,Northeast,-8.062398,-34.904552,140.0,848408.53,Recife
181,house,Pernambuco,Northeast,-8.1567832,-34.914263,250.0,1597004.3,Jaboatão dos Guararapes
182,apartment,Pernambuco,Northeast,-8.158369,-34.920389,,299438.28,Jaboatão dos Guararapes
183,apartment,Pernambuco,Northeast,-8.044832,-34.910873,65.0,379288.51,Recife
184,apartment,Pernambuco,Northeast,-8.1112378,-34.8958906,163.0,1211514.4,Recife
185,apartment,Pernambuco,Northeast,-8.033752,-34.8982362,89.0,686524.82,Recife
186,apartment,Pernambuco,Northeast,-8.033752,-34.8982362,113.0,832916.14,Recife
187,apartment,Pernambuco,Northeast,-8.043853,-34.907928,203.0,1377416.18,Recife
188,apartment,Pernambuco,Northeast,-8.068109,-34.924175,75.0,259513.19,Recife
189,apartment,Pernambuco,Northeast,-8.0179739,-34.940726,58.0,339224.03,Recife
190,apartment,Pernambuco,Northeast,-8.0307507,-34.917765,68.0,465423.45,Recife
191,apartment,Pernambuco,Northeast,-8.0275469,-34.9078785,66.0,421001.23,Recife
192,apartment,Pernambuco,Northeast,-8.1249136,-34.9077055,56.0,340233.61,Recife
